,trackId,recordingId,DV1,DV2,DV3,DV4,DV5,DV6,DV7,DV8,DV9,DV10,DV11,DV12,DV13,class,label
1,1.0,0.0,3.19174614051745,1.11358216862096,143.504008172752,116.396644509485,-152.617718957196,2.73736682154186,0.744132461612096,99.9838134954981,96.8312266475872,-98.6147637980009,3.41555977229602,14.0056022408964,0.0,1,0
3,3.0,0.0,0.386309549482822,0.278399351405784,-363.317330896453,221.006098101244,-291.937662386953,0.189585971406587,0.1949227561472,-510.941271118262,68.0240502869637,-54.3231140199793,0.0,13.28,0.0,1,0
6,6.0,0.0,0.489957709753404,0.468322038503533,-3.90666189638666,111.101144383428,-67.8780342336881,0.435596522550991,0.451850798171963,-3.70712773035098,88.1816626335216,-45.3288785737968,0.0,16.4948453608247,16.5467625899281,1,0
8,8.0,0.0,0.608885704872811,0.567145208449546,-4.28973163191076,76.7833839674868,-66.5857182520383,0.543366299319728,0.30145036484375,-4.24733852229457,50.3358967330875,-61.5634343500306,2.85714285714286,9.375,22.0,1,0
19,19.0,0.0,0.23890010506842,0.476197329646157,1.48884976226608,75.2181987825265,-52.296864949802,0.194930122491353,0.54600992,1.06345909781679,69.571011778266,-56.5781126090405,0.0,24.0,29.6551724137931,1,0
25,25.0,0.0,0.187963249654011,0.360988147653839,1.35199994713917,97.6127619250809,-40.7963194662,0.114102137648486,0.461903296398892,0.312505152857963,84.8412506144645,-30.3255539962229,0.0,23.6842105263158,9.43396226415094,1,0
29,29.0,0.0,0.155191668835493,0.316957174852243,-1.05525035181786,88.0324312274319,-102.078714752548,0.13320851089619,0.210070553981857,-0.833859070111827,67.1830042174136,-85.0341482727903,1.00502512562814,8.38323353293413,0.0,1,0
36,36.0,0.0,0.349697068351113,0.490353538351697,2.5723742757054,72.7430673396441,-43.7234582226267,0.321228907205268,0.564316504161712,2.6041427557233,66.5447724113289,-24.9334858665685,0.0,24.1379310344828,4.65116279069768,1,0
40,40.0,0.0,0.41216570100918,0.934994420059196,3.15660495236155,58.6236031929869,-46.3479218777245,0.262390314869207,0.822675017301038,0.374201435190392,53.3296720061022,-42.5830113301461,0.0,23.5294117647059,25.2873563218391,1,0
45,45.0,0.0,0.307546100148487,0.459711495463774,2.11349756901292,86.4082844004569,-67.5187576070006,0.253193942960614,0.502411238293444,1.40962577760205,79.3346560445885,-65.294915478514,0.0,25.8064516129032,17.8343949044586,1,0
48,48.0,0.0,4.3744608854443,1.02971576967265,145.485815621668,92.8973141135072,-90.3770418746598,3.64994488459909,0.461933061692911,100.265974166655,79.7986963190184,-55.6360128556545,4.14878397711016,14.4694533762058,8.76288659793814,1,0
50,50.0,0.0,0.455935758718119,0.377452963984229,-3.10403790497659,133.663085897089,-75.986732599075,0.395076897,0.453345306971904,-2.74114748820548,93.7190993938916,-67.292272061876,0.0,19.3548387096774,21.7391304347826,1,0
54,54.0,0.0,0.353756362910034,0.395165258677872,-2.54973258468542,148.142235276803,-67.3298829852185,0.29704913310851,0.40593514309866,-2.09375432206906,96.0177730264257,-56.9135163127913,0.0,16.4835164835165,14.7540983606557,1,0
59,59.0,0.0,0.364416758276414,0.747017854411831,2.80191971371179,58.014402311319,-125.334405230511,0.242390552249135,0.452783988919668,1.29483200544618,50.7149687065369,-33.7415979329306,0.0,26.3157894736842,0.0,1,0
62,62.0,0.0,0.282172922098567,0.382290186749902,2.10403856679874,125.098498687205,-52.7947348269453,0.253721207017883,0.451900158730159,2.11034278686001,88.8281971516065,-32.669740565571,0.0,21.4285714285714,11.1801242236025,1,0
64,64.0,0.0,0.22383053496079,0.518762680793067,1.7268554091641,144.437342563659,-109.656373721121,0.161102777777778,0.397283151010702,0.89025353882985,89.3424279941134,-85.0454937820346,0.0,18.9655172413793,0.0,1,0
68,68.0,0.0,0.189116174509637,0.449519772510272,1.36765065942084,103.577118601059,-115.083363107284,0.162827698795485,0.418343673469388,1.04719490196794,95.5631568784309,-68.3995734383331,0.0,25.0,0.0,1,0
75,75.0,0.0,0.328650758122769,0.375891827407793,-2.09771187038346,143.955825084495,-53.8000443718556,0.249334274279761,0.33690764375,-1.04365600891914,55.9464694834757,-51.3170869136498,4.71204188481675,15.0,26.1261261261261,1,0
82,82.0,0.0,0.644166630127732,0.50495528478004,-3.76679662887411,153.580112792549,-62.6122871400292,0.561945186587344,0.44039397510048,-3.26065241963042,81.750731583677,-56.1340836799609,0.0,14.8514851485149,18.3098591549296,1,0
85,85.0,0.0,0.846509492431069,1.28688765704846,6.07198115736474,135.40129639885,-167.445917417331,0.502525311056649,0.434394323223178,0.901575144385073,96.4502054475368,-51.1882420706442,0.0,21.2765957446808,0.0,1,0
94,94.0,0.0,0.210850133963812,0.416254075613437,1.31490881825076,73.6188549277104,-42.2791244199889,0.166744946189164,0.4833678125,0.903077029280192,68.6262350448509,-28.7496134419132,0.0,25.0,17.7304964539007,1,0
97,97.0,0.0,0.151001826387222,0.400190363393,1.05021522718591,66.4674681589214,-49.9990725545012,0.114168404397744,0.421629659863946,0.667874511299705,60.5191804559818,-39.2050250269899,0.0,23.8095238095238,19.8529411764706,1,0
101,101.0,0.0,0.57076518966199,0.811096479969482,2.70382907950487,104.246818432921,-62.6963771356024,0.437284622448979,0.688534924554184,1.64832657496798,75.7219847483688,-64.4208653878837,0.0,20.3703703703704,26.7441860465116,1,0
